ID,Country ,Country Code,YEAR,Population,Electricity 
BTN2018,Bhutan,BTN,2018,754394,100
BTN2019,Bhutan,BTN,2019,763092,0
GUY2016,Guyana,GUY,2016,771366,89.71763611
BTN2020,Bhutan,BTN,2020,772000,0
GUY2017,Guyana,GUY,2017,775221,90.86386108
GUY2018,Guyana,GUY,2018,779004,91.84952545
GUY2019,Guyana,GUY,2019,782766,0
GUY2020,Guyana,GUY,2020,787000,0
COM2016,Comoros,COM,2016,795592,76.91812134
COM2017,Comoros,COM,2017,813892,79.41969299
COM2018,Comoros,COM,2018,832322,81.92275238
COM2019,Comoros,COM,2019,850886,0
COM2020,Comoros,COM,2020,870000,0
FJI2016,Fiji,FJI,2016,872399,96.62377167
FJI2017,Fiji,FJI,2017,877459,96
FJI2018,Fiji,FJI,2018,883483,99.5933609
FJI2019,Fiji,FJI,2019,889953,0
FJI2020,Fiji,FJI,2020,896000,0
DJI2016,Djibouti,DJI,2016,929112,58.69424057
DJI2017,Djibouti,DJI,2017,944097,60.2
DJI2018,Djibouti,DJI,2018,958920,60.39544678
DJI2019,Djibouti,DJI,2019,973560,0
DJI2020,Djibouti,DJI,2020,988000,0
SWZ2016,Eswatini,SWZ,2016,1113984,69.5853653
SWZ2017,Eswatini,SWZ,2017,1124753,73.5
SWZ2018,Eswatini,SWZ,2018,1136191,76.50398254
SWZ2019,Eswatini,SWZ,2019,1148130,0
SWZ2020,Eswatini,SWZ,2020,1160000,0
CYP2016,Cyprus,CYP,2016,1170187,100
CYP2017,Cyprus,CYP,2017,1179680,100
CYP2018,Cyprus,CYP,2018,1189265,100
CYP2019,Cyprus,CYP,2019,1198575,0
CYP2020,Cyprus,CYP,2020,1207000,0
GNQ2016,Equatorial Guinea,GNQ,2016,1215179,66.52042389
TLS2016,Timor-Leste,TLS,2016,1219288,76.5
TLS2017,Timor-Leste,TLS,2017,1243261,80.00364685
GNQ2017,Equatorial Guinea,GNQ,2017,1262001,66.77571869
MUS2016,Mauritius,MUS,2016,1263473,97.37947083
MUS2017,Mauritius,MUS,2017,1264613,97.42199707
MUS2018,Mauritius,MUS,2018,1265303,97.46600342
MUS2019,Mauritius,MUS,2019,1265711,0
TLS2018,Timor-Leste,TLS,2018,1267972,85.59183502
MUS2020,Mauritius,MUS,2020,1268000,0
TLS2019,Timor-Leste,TLS,2019,1293119,0
GNQ2018,Equatorial Guinea,GNQ,2018,1308974,67.03250122
EST2016,Estonia,EST,2016,1315790,100
EST2017,Estonia,EST,2017,1317384,100
TLS2020,Timor-Leste,TLS,2020,1318000,0
EST2018,Estonia,EST,2018,1321977,100
EST2020,Estonia,EST,2020,1325000,0
EST2019,Estonia,EST,2019,1326590,0
GNQ2019,Equatorial Guinea,GNQ,2019,1355986,0
TTO2016,Trinidad and Tobago,TTO,2016,1377564,100
TTO2017,Trinidad and Tobago,TTO,2017,1384072,100
TTO2018,Trinidad and Tobago,TTO,2018,1389858,100
TTO2019,Trinidad and Tobago,TTO,2019,1394973,0
TTO2020,Trinidad and Tobago,TTO,2020,1399000,0
GNQ2020,Equatorial Guinea,GNQ,2020,1403000,0
BHR2016,Bahrain,BHR,2016,1425791,100
BHR2017,Bahrain,BHR,2017,1494074,100
BHR2018,Bahrain,BHR,2018,1569439,100
BHR2019,Bahrain,BHR,2019,1641172,0
BHR2020,Bahrain,BHR,2020,1702000,0
XKX2016,Kosovo,XKX,2016,1777557,100
GNB2016,Guinea-Bissau,GNB,2016,1782437,23.29334831
XKX2017,Kosovo,XKX,2017,1791003,99.8
XKX2019,Kosovo,XKX,2019,1794248,0
XKX2018,Kosovo,XKX,2018,1797085,100
XKX2020,Kosovo,XKX,2020,1806000,0
GNB2017,Guinea-Bissau,GNB,2017,1828146,26
GNB2018,Guinea-Bissau,GNB,2018,1874309,28.66202164
LVA2020,Latvia,LVA,2020,1893000,0
LVA2019,Latvia,LVA,2019,1912789,0
GNB2019,Guinea-Bissau,GNB,2019,1920922,0
LVA2018,Latvia,LVA,2018,1927174,100
LVA2017,Latvia,LVA,2017,1942248,100
LVA2016,Latvia,LVA,2016,1959537,100
GNB2020,Guinea-Bissau,GNB,2020,1968000,0
GAB2016,Gabon,GAB,2016,2007873,90.77037048
GAB2017,Gabon,GAB,2017,2064823,91.90228271
SVN2016,Slovenia,SVN,2016,2065042,100
SVN2017,Slovenia,SVN,2017,2066388,100
SVN2018,Slovenia,SVN,2018,2073894,100
LSO2016,Lesotho,LSO,2016,2075001,35.28564453
MKD2016,North Macedonia,MKD,2016,2080745,100
MKD2017,North Macedonia,MKD,2017,2081996,100
MKD2018,North Macedonia,MKD,2018,2082958,100
MKD2020,North Macedonia,MKD,2020,2083000,0
MKD2019,North Macedonia,MKD,2019,2083459,0
